Text name: ./res/vae/2/log.txt
Namespace(batch_size=128, dropout=0.25, epoch=100, exp_case=[1, 2, 3], frame=5, gpu=0, h_dim=[256], id=2, k=10, lr=0.001, lr_rate=0.9, lr_step=50, mode='vae', norm=1, root='.', sig_max=1, wd=0.0001, z_dim=128)
epoch: [0/100] loss: [4285775616.000] train_loss:[48.7795] test_loss: [46.0861]
[ID] recon avg: [46.086] kl_div avg: [470.252]
[OOD] recon avg: [18.807] kl_div avg: [328.719]
epoch: [1/100] loss: [38.012] train_loss:[29.5434] test_loss: [28.8596]
[ID] recon avg: [28.860] kl_div avg: [509.445]
[OOD] recon avg: [9.635] kl_div avg: [364.035]
epoch: [2/100] loss: [25.957] train_loss:[22.3889] test_loss: [22.5471]
[ID] recon avg: [22.547] kl_div avg: [510.588]
[OOD] recon avg: [7.099] kl_div avg: [367.744]
epoch: [3/100] loss: [20.147] train_loss:[17.8820] test_loss: [18.7064]
[ID] recon avg: [18.706] kl_div avg: [507.406]
[OOD] recon avg: [5.900] kl_div avg: [366.243]
epoch: [4/100] loss: [16.640] train_loss:[15.4006] test_loss: [16.6331]
[ID] recon avg: [16.633] kl_div avg: [502.141]
[OOD] recon avg: [5.346] kl_div avg: [366.000]
epoch: [5/100] loss: [14.362] train_loss:[13.8317] test_loss: [15.2016]
[ID] recon avg: [15.202] kl_div avg: [499.846]
[OOD] recon avg: [4.980] kl_div avg: [366.883]
epoch: [6/100] loss: [12.672] train_loss:[12.3530] test_loss: [13.9115]
[ID] recon avg: [13.912] kl_div avg: [499.637]
[OOD] recon avg: [4.617] kl_div avg: [369.989]
epoch: [7/100] loss: [11.543] train_loss:[11.2584] test_loss: [12.9312]
[ID] recon avg: [12.931] kl_div avg: [496.232]
[OOD] recon avg: [4.296] kl_div avg: [370.833]
epoch: [8/100] loss: [10.577] train_loss:[10.5780] test_loss: [12.2906]
[ID] recon avg: [12.291] kl_div avg: [498.292]
[OOD] recon avg: [4.118] kl_div avg: [373.155]
epoch: [9/100] loss: [9.901] train_loss:[9.9978] test_loss: [11.6717]
[ID] recon avg: [11.672] kl_div avg: [496.319]
[OOD] recon avg: [3.936] kl_div avg: [373.683]
epoch: [10/100] loss: [9.341] train_loss:[9.5678] test_loss: [11.1146]
[ID] recon avg: [11.115] kl_div avg: [495.264]
[OOD] recon avg: [3.774] kl_div avg: [372.356]
epoch: [11/100] loss: [8.851] train_loss:[9.0125] test_loss: [10.6964]
[ID] recon avg: [10.696] kl_div avg: [495.124]
[OOD] recon avg: [3.665] kl_div avg: [375.114]
epoch: [12/100] loss: [8.402] train_loss:[8.7567] test_loss: [10.3066]
[ID] recon avg: [10.307] kl_div avg: [496.803]
[OOD] recon avg: [3.529] kl_div avg: [376.131]
epoch: [13/100] loss: [8.096] train_loss:[8.0852] test_loss: [9.6819]
[ID] recon avg: [9.682] kl_div avg: [497.818]
[OOD] recon avg: [3.454] kl_div avg: [377.510]
epoch: [14/100] loss: [7.742] train_loss:[8.2157] test_loss: [9.8170]
[ID] recon avg: [9.817] kl_div avg: [496.149]
[OOD] recon avg: [3.332] kl_div avg: [378.600]
epoch: [15/100] loss: [7.476] train_loss:[7.8745] test_loss: [9.3947]
[ID] recon avg: [9.395] kl_div avg: [499.376]
[OOD] recon avg: [3.337] kl_div avg: [380.782]
epoch: [16/100] loss: [7.196] train_loss:[7.6276] test_loss: [9.1600]
[ID] recon avg: [9.160] kl_div avg: [496.993]
[OOD] recon avg: [3.185] kl_div avg: [378.757]
epoch: [17/100] loss: [6.998] train_loss:[7.4095] test_loss: [8.9618]
[ID] recon avg: [8.962] kl_div avg: [498.024]
[OOD] recon avg: [3.207] kl_div avg: [380.057]
epoch: [18/100] loss: [6.951] train_loss:[7.1432] test_loss: [8.6427]
[ID] recon avg: [8.643] kl_div avg: [498.738]
[OOD] recon avg: [3.185] kl_div avg: [382.020]
epoch: [19/100] loss: [6.706] train_loss:[7.1646] test_loss: [8.6468]
[ID] recon avg: [8.647] kl_div avg: [497.094]
[OOD] recon avg: [3.156] kl_div avg: [381.633]
epoch: [20/100] loss: [6.573] train_loss:[6.7649] test_loss: [8.2468]
[ID] recon avg: [8.247] kl_div avg: [499.797]
