Text name: ./res/vae/21/log.txt
Namespace(batch_size=128, dropout=0.25, epoch=100, exp_case=[1, 2, 3], frame=1, gpu=0, h_dim=[128], id=21, k=10, light=True, lr=0.001, lr_rate=0.9, lr_step=50, mode='vae', norm=1, root='./dataset', sig_max=1, wd=0.0001, z_dim=32)
epoch: [0/100] loss: [99366.898] train_loss:[9.3172] test_loss: [9.5835]
[ID] recon avg: [9.584] kl_div avg: [123.022]
[OOD] recon avg: [6.996] kl_div avg: [72.854]
epoch: [1/100] loss: [6.542] train_loss:[4.3294] test_loss: [4.5941]
[ID] recon avg: [4.594] kl_div avg: [160.469]
[OOD] recon avg: [3.408] kl_div avg: [100.042]
epoch: [2/100] loss: [3.623] train_loss:[2.7864] test_loss: [3.0148]
[ID] recon avg: [3.015] kl_div avg: [177.604]
[OOD] recon avg: [2.297] kl_div avg: [111.188]
epoch: [3/100] loss: [2.519] train_loss:[2.1274] test_loss: [2.3346]
[ID] recon avg: [2.335] kl_div avg: [186.080]
[OOD] recon avg: [1.766] kl_div avg: [117.062]
epoch: [4/100] loss: [1.950] train_loss:[1.7158] test_loss: [1.9030]
[ID] recon avg: [1.903] kl_div avg: [190.938]
[OOD] recon avg: [1.490] kl_div avg: [120.865]
epoch: [5/100] loss: [1.594] train_loss:[1.4190] test_loss: [1.5796]
[ID] recon avg: [1.580] kl_div avg: [193.810]
[OOD] recon avg: [1.288] kl_div avg: [123.561]
epoch: [6/100] loss: [1.348] train_loss:[1.2015] test_loss: [1.3433]
[ID] recon avg: [1.343] kl_div avg: [196.036]
[OOD] recon avg: [1.139] kl_div avg: [125.618]
epoch: [7/100] loss: [1.165] train_loss:[1.0410] test_loss: [1.1643]
[ID] recon avg: [1.164] kl_div avg: [197.150]
[OOD] recon avg: [1.018] kl_div avg: [127.166]
epoch: [8/100] loss: [1.022] train_loss:[0.9250] test_loss: [1.0335]
[ID] recon avg: [1.033] kl_div avg: [197.901]
[OOD] recon avg: [0.922] kl_div avg: [128.604]
epoch: [9/100] loss: [0.910] train_loss:[0.8285] test_loss: [0.9282]
[ID] recon avg: [0.928] kl_div avg: [197.856]
[OOD] recon avg: [0.841] kl_div avg: [129.638]
epoch: [10/100] loss: [0.822] train_loss:[0.7546] test_loss: [0.8480]
[ID] recon avg: [0.848] kl_div avg: [197.727]
[OOD] recon avg: [0.773] kl_div avg: [130.771]
epoch: [11/100] loss: [0.751] train_loss:[0.6892] test_loss: [0.7754]
[ID] recon avg: [0.775] kl_div avg: [197.407]
[OOD] recon avg: [0.714] kl_div avg: [131.612]
epoch: [12/100] loss: [0.688] train_loss:[0.6350] test_loss: [0.7184]
[ID] recon avg: [0.718] kl_div avg: [196.832]
[OOD] recon avg: [0.666] kl_div avg: [132.368]
epoch: [13/100] loss: [0.635] train_loss:[0.5801] test_loss: [0.6606]
[ID] recon avg: [0.661] kl_div avg: [196.369]
[OOD] recon avg: [0.624] kl_div avg: [133.003]
epoch: [14/100] loss: [0.588] train_loss:[0.5437] test_loss: [0.6190]
[ID] recon avg: [0.619] kl_div avg: [196.067]
[OOD] recon avg: [0.599] kl_div avg: [133.795]
epoch: [15/100] loss: [0.546] train_loss:[0.5122] test_loss: [0.5875]
[ID] recon avg: [0.587] kl_div avg: [195.188]
[OOD] recon avg: [0.572] kl_div avg: [134.103]
epoch: [16/100] loss: [0.512] train_loss:[0.4775] test_loss: [0.5502]
[ID] recon avg: [0.550] kl_div avg: [194.587]
[OOD] recon avg: [0.543] kl_div avg: [134.512]
epoch: [17/100] loss: [0.483] train_loss:[0.4538] test_loss: [0.5255]
[ID] recon avg: [0.526] kl_div avg: [193.510]
[OOD] recon avg: [0.525] kl_div avg: [134.568]
epoch: [18/100] loss: [0.460] train_loss:[0.4251] test_loss: [0.4995]
[ID] recon avg: [0.499] kl_div avg: [192.561]
[OOD] recon avg: [0.501] kl_div avg: [134.648]
epoch: [19/100] loss: [0.437] train_loss:[0.4092] test_loss: [0.4784]
[ID] recon avg: [0.478] kl_div avg: [192.107]
[OOD] recon avg: [0.488] kl_div avg: [135.095]
epoch: [20/100] loss: [0.416] train_loss:[0.3874] test_loss: [0.4554]
[ID] recon avg: [0.455] kl_div avg: [190.817]
[OOD] recon avg: [0.472] kl_div avg: [134.967]
epoch: [21/100] loss: [0.396] train_loss:[0.3723] test_loss: [0.4354]
[ID] recon avg: [0.435] kl_div avg: [190.458]
[OOD] recon avg: [0.454] kl_div avg: [135.472]
epoch: [22/100] loss: [0.380] train_loss:[0.3656] test_loss: [0.4240]
[ID] recon avg: [0.424] kl_div avg: [189.603]
[OOD] recon avg: [0.450] kl_div avg: [135.438]
epoch: [23/100] loss: [0.363] train_loss:[0.3526] test_loss: [0.4117]
[ID] recon avg: [0.412] kl_div avg: [189.376]
[OOD] recon avg: [0.433] kl_div avg: [135.937]
epoch: [24/100] loss: [0.348] train_loss:[0.3466] test_loss: [0.4032]
[ID] recon avg: [0.403] kl_div avg: [189.089]
[OOD] recon avg: [0.423] kl_div avg: [136.188]
epoch: [25/100] loss: [0.334] train_loss:[0.3410] test_loss: [0.3944]
[ID] recon avg: [0.394] kl_div avg: [189.107]
[OOD] recon avg: [0.411] kl_div avg: [136.571]
epoch: [26/100] loss: [0.324] train_loss:[0.3344] test_loss: [0.3910]
[ID] recon avg: [0.391] kl_div avg: [188.154]
[OOD] recon avg: [0.408] kl_div avg: [136.262]
epoch: [27/100] loss: [0.313] train_loss:[0.3271] test_loss: [0.3794]
[ID] recon avg: [0.379] kl_div avg: [187.286]
[OOD] recon avg: [0.402] kl_div avg: [136.114]
epoch: [28/100] loss: [0.302] train_loss:[0.3114] test_loss: [0.3694]
[ID] recon avg: [0.369] kl_div avg: [186.808]
[OOD] recon avg: [0.395] kl_div avg: [136.192]
epoch: [29/100] loss: [0.295] train_loss:[0.3046] test_loss: [0.3643]
[ID] recon avg: [0.364] kl_div avg: [184.950]
[OOD] recon avg: [0.387] kl_div avg: [135.102]
epoch: [30/100] loss: [0.285] train_loss:[0.2966] test_loss: [0.3587]
[ID] recon avg: [0.359] kl_div avg: [184.903]
[OOD] recon avg: [0.381] kl_div avg: [135.441]
epoch: [31/100] loss: [0.280] train_loss:[0.2970] test_loss: [0.3519]
[ID] recon avg: [0.352] kl_div avg: [183.718]
[OOD] recon avg: [0.378] kl_div avg: [134.696]
epoch: [32/100] loss: [0.273] train_loss:[0.2892] test_loss: [0.3500]
[ID] recon avg: [0.350] kl_div avg: [183.956]
[OOD] recon avg: [0.362] kl_div avg: [135.399]
epoch: [33/100] loss: [0.263] train_loss:[0.2799] test_loss: [0.3386]
[ID] recon avg: [0.339] kl_div avg: [183.438]
[OOD] recon avg: [0.364] kl_div avg: [135.594]
epoch: [34/100] loss: [0.259] train_loss:[0.2863] test_loss: [0.3347]
[ID] recon avg: [0.335] kl_div avg: [182.009]
[OOD] recon avg: [0.361] kl_div avg: [134.663]
epoch: [35/100] loss: [0.251] train_loss:[0.2667] test_loss: [0.3192]
[ID] recon avg: [0.319] kl_div avg: [182.409]
[OOD] recon avg: [0.351] kl_div avg: [135.378]
epoch: [36/100] loss: [0.241] train_loss:[0.2634] test_loss: [0.3116]
[ID] recon avg: [0.312] kl_div avg: [182.108]
[OOD] recon avg: [0.341] kl_div avg: [135.362]
epoch: [37/100] loss: [0.237] train_loss:[0.2640] test_loss: [0.3061]
[ID] recon avg: [0.306] kl_div avg: [180.975]
[OOD] recon avg: [0.341] kl_div avg: [134.998]
epoch: [38/100] loss: [0.234] train_loss:[0.2552] test_loss: [0.3071]
[ID] recon avg: [0.307] kl_div avg: [179.755]
[OOD] recon avg: [0.331] kl_div avg: [134.344]
epoch: [39/100] loss: [0.230] train_loss:[0.2538] test_loss: [0.3005]
[ID] recon avg: [0.301] kl_div avg: [178.820]
[OOD] recon avg: [0.337] kl_div avg: [133.874]
epoch: [40/100] loss: [0.223] train_loss:[0.2396] test_loss: [0.2909]
[ID] recon avg: [0.291] kl_div avg: [178.903]
[OOD] recon avg: [0.321] kl_div avg: [134.195]
epoch: [41/100] loss: [0.217] train_loss:[0.2306] test_loss: [0.2798]
[ID] recon avg: [0.280] kl_div avg: [178.746]
[OOD] recon avg: [0.322] kl_div avg: [134.481]
epoch: [42/100] loss: [0.211] train_loss:[0.2360] test_loss: [0.2853]
[ID] recon avg: [0.285] kl_div avg: [178.341]
[OOD] recon avg: [0.311] kl_div avg: [134.276]
epoch: [43/100] loss: [0.209] train_loss:[0.2209] test_loss: [0.2665]
[ID] recon avg: [0.267] kl_div avg: [177.516]
[OOD] recon avg: [0.311] kl_div avg: [133.879]
epoch: [44/100] loss: [0.208] train_loss:[0.2321] test_loss: [0.2764]
[ID] recon avg: [0.276] kl_div avg: [177.423]
[OOD] recon avg: [0.306] kl_div avg: [134.111]
epoch: [45/100] loss: [0.201] train_loss:[0.2234] test_loss: [0.2731]
[ID] recon avg: [0.273] kl_div avg: [177.253]
[OOD] recon avg: [0.303] kl_div avg: [134.359]
epoch: [46/100] loss: [0.195] train_loss:[0.2228] test_loss: [0.2656]
[ID] recon avg: [0.266] kl_div avg: [177.618]
[OOD] recon avg: [0.296] kl_div avg: [134.911]
epoch: [47/100] loss: [0.192] train_loss:[0.2183] test_loss: [0.2729]
